deepResearchRank,full_name,owner,url,domain,language,stars,forks,technicalValue,personalRelevance,priorityScore,isUTAS,isAI,isData,isGIS,isActive,isArchived,isStudent,isProductionReady,created_at,pushed_at,techStack,chineseDescription,recommendation
68,taziedevil/tasmania-realestate-heatmap,taziedevil,https://github.com/taziedevil/tasmania-realestate-heatmap,GIS / Geography,HTML,0,0,39,68,47,false,false,false,true,true,false,false,false,2025-05-06T03:37:47Z,2025-05-06T04:22:11Z,HTML;GIS,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
69,taziedevil/tasmania-suburb-report-table,taziedevil,https://github.com/taziedevil/tasmania-suburb-report-table,GIS / Geography,HTML,0,0,39,68,47,false,false,false,true,true,false,false,false,2025-05-13T08:50:46Z,2025-05-14T00:01:52Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
70,paulieokay/coupes,paulieokay,https://github.com/paulieokay/coupes,GIS / Geography,Unknown,0,0,39,68,47,false,false,false,true,true,false,false,false,2025-07-24T11:45:12Z,2025-08-05T06:42:08Z,GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
71,taziedevil/tasmanian-suburb-table-map,taziedevil,https://github.com/taziedevil/tasmanian-suburb-table-map,GIS / Geography,HTML,0,0,39,68,47,false,false,false,true,true,false,false,false,2025-05-14T00:08:10Z,2025-05-14T05:42:39Z,HTML;GIS,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
72,taziedevil/tasmania-real-estate-map,taziedevil,https://github.com/taziedevil/tasmania-real-estate-map,GIS / Geography,HTML,0,0,39,68,47,false,false,false,true,true,false,false,false,2025-05-02T03:48:32Z,2025-05-06T03:48:07Z,HTML;GIS,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
73,travistyzero/hydro-data,travistyzero,https://github.com/travistyzero/hydro-data,Data Analysis,JavaScript,0,0,22,80,47,false,false,true,false,false,false,false,false,2016-03-13T07:54:24Z,2016-04-18T05:08:22Z,JavaScript;JavaScript / Web;Data Engineering,与 Hydro Tasmania 水电、水库或水文数据相关的数据处理/可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
74,mjec/metro-data,mjec,https://github.com/mjec/metro-data,Data Analysis,Unknown,0,0,22,80,47,false,false,true,false,false,false,false,false,2013-08-15T01:59:44Z,2013-08-15T03:35:07Z,,Metro Tasmania 公交准点、取消或运营信息数据项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
75,lanceolata-au/prodromoi-api,lanceolata-au,https://github.com/lanceolata-au/prodromoi-api,Local Business / Tourism,C#,0,0,48,51,47,false,false,true,false,false,false,false,true,2023-04-11T02:28:46Z,2023-09-09T00:34:01Z,C#;Data Engineering,塔斯马尼亚本地商业、生活服务或市场类项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
76,fredfery/3d-land-cover-map-Tasmania-esri,fredfery,https://github.com/fredfery/3d-land-cover-map-Tasmania-esri,GIS / Geography,R,0,0,39,68,47,false,false,false,true,true,false,false,false,2024-12-11T20:27:31Z,2024-12-23T04:33:32Z,R;GIS,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
77,fredfery/3d-land-cover-map-Tasmania-esa,fredfery,https://github.com/fredfery/3d-land-cover-map-Tasmania-esa,GIS / Geography,R,0,0,39,68,47,false,false,false,true,true,false,false,false,2024-12-23T04:25:41Z,2024-12-23T08:52:28Z,R;GIS,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
78,lukaslindenthal/flight-campaign-rf01-demo,lukaslindenthal,https://github.com/lukaslindenthal/flight-campaign-rf01-demo,GIS / Geography,JavaScript,0,0,32,72,47,false,false,false,true,false,false,false,false,2023-04-13T23:40:46Z,2023-04-13T23:51:47Z,JavaScript;JavaScript / Web;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
79,AleronFrancois/PostCodeProgram,AleronFrancois,https://github.com/AleronFrancois/PostCodeProgram,GIS / Geography,Java,0,0,39,68,47,false,false,false,true,true,false,false,false,2025-03-13T11:49:41Z,2025-03-25T01:00:15Z,Java,查询塔斯马尼亚邮编及对应城镇/郊区的程序。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
80,mohmmadAK/SIT305,mohmmadAK,https://github.com/mohmmadAK/SIT305,Data Analysis,Java,0,0,22,80,47,false,false,true,false,false,false,false,false,2018-03-28T04:31:50Z,2018-05-18T13:30:12Z,Java,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
81,mdsumner/applemile,mdsumner,https://github.com/mdsumner/applemile,GIS / Geography,HTML,0,0,34,60,46,false,false,false,true,false,false,false,true,2017-07-29T10:37:20Z,2017-07-29T10:41:16Z,HTML;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
82,galckmin/PhD_DataAnalysis,galckmin,https://github.com/galckmin/PhD_DataAnalysis,Data Analysis,Unknown,0,0,22,70,46,true,false,true,false,false,false,false,false,2018-01-28T23:44:53Z,2018-01-28T23:44:54Z,,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
83,cazalye/universityFC,cazalye,https://github.com/cazalye/universityFC,Education / UTAS,TypeScript,0,0,22,70,46,true,false,true,false,false,false,false,false,2020-09-07T21:28:55Z,2021-02-08T06:05:24Z,TypeScript;JavaScript / Web;React;Data Engineering,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
84,NordicFlame/SuperCubicleAdventures,NordicFlame,https://github.com/NordicFlame/SuperCubicleAdventures,Data Analysis,ShaderLab,0,0,22,70,46,true,false,true,false,false,false,false,false,2020-08-17T00:05:49Z,2021-02-16T01:23:35Z,ShaderLab,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
85,tfsbrigades/Tasmania-brigades,tfsbrigades,https://github.com/tfsbrigades/Tasmania-brigades,Web / App,HTML,0,0,29,70,45,false,false,false,false,true,false,false,false,2025-08-16T02:08:06Z,2025-08-16T04:51:20Z,HTML,塔斯马尼亚政府、公共服务、开放数据或地方议会信息项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
86,Getbusi/lgmtas,Getbusi,https://github.com/Getbusi/lgmtas,Web / App,HTML,0,0,50,46,45,false,false,false,false,true,false,false,true,2020-11-20T04:08:15Z,2026-03-02T03:54:25Z,HTML,塔斯马尼亚园艺/花园维护本地服务网站。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
87,Kirirou/farmtasker-au,Kirirou,https://github.com/Kirirou/farmtasker-au,Web / App,Rust,0,0,50,46,45,false,false,false,false,true,false,false,true,2024-09-03T06:48:57Z,2026-01-17T18:47:38Z,Rust,塔斯马尼亚本地商业、生活服务或市场类项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
88,sdesalas/pocket-convict-finder,sdesalas,https://github.com/sdesalas/pocket-convict-finder,Data Analysis,Unknown,0,0,36,56,45,false,false,true,false,false,false,false,true,2015-07-03T15:36:55Z,2016-01-12T05:59:07Z,,检索或可视化 19 世纪被流放至塔斯马尼亚的囚犯资料。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
89,rdmpage/pap-proc-roy-soc-tas,rdmpage,https://github.com/rdmpage/pap-proc-roy-soc-tas,Research Projects,PHP,0,0,29,68,44,false,false,false,false,true,false,false,false,2025-02-20T17:22:26Z,2025-02-25T08:55:12Z,PHP,塔斯马尼亚历史、文化、社区或人文资料项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
90,gopaladhikari/travel-with-a-cause,gopaladhikari,https://github.com/gopaladhikari/travel-with-a-cause,Web / App,JavaScript,0,0,22,74,44,false,false,false,false,false,false,false,false,2023-01-19T05:27:02Z,2023-01-23T11:40:55Z,JavaScript;JavaScript / Web,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
91,wghuneke/UTasIMAS_PhDThesis_Template,wghuneke,https://github.com/wghuneke/UTasIMAS_PhDThesis_Template,Marine Science,TeX,14,10,28,55,42,true,false,false,false,false,false,false,false,2020-06-01T06:49:18Z,2020-06-01T07:54:33Z,TeX,塔斯马尼亚大学或其相关学院的论文/学位论文 LaTeX 模板。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
92,JorgeRodriguezGonzalez/tasmania-roofing,JorgeRodriguezGonzalez,https://github.com/JorgeRodriguezGonzalez/tasmania-roofing,Web / App,Unknown,0,0,43,46,42,false,false,false,false,true,false,false,true,2025-10-24T03:43:12Z,2025-10-24T03:43:12Z,,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
93,SanchoDev39/ExploreFlindersIsland,SanchoDev39,https://github.com/SanchoDev39/ExploreFlindersIsland,Web / App,JavaScript,0,0,36,58,42,false,false,false,false,true,false,false,false,2024-09-30T01:46:42Z,2026-01-13T13:19:59Z,JavaScript;JavaScript / Web,介绍塔斯马尼亚弗林德斯岛的网页项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
94,ahpoi/tasmania-overland-planner,ahpoi,https://github.com/ahpoi/tasmania-overland-planner,Web / App,TypeScript,0,0,36,58,42,false,false,false,false,true,false,false,false,2026-03-23T11:47:48Z,2026-03-24T13:13:18Z,TypeScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
95,yilinqiao/tasmania-2025-trip,yilinqiao,https://github.com/yilinqiao/tasmania-2025-trip,Web / App,HTML,0,0,36,58,42,false,false,false,false,true,false,false,false,2026-02-07T06:30:20Z,2026-02-07T08:22:46Z,HTML,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
96,martincherries-star/Bushmill-Tours,martincherries-star,https://github.com/martincherries-star/Bushmill-Tours,Web / App,HTML,0,0,36,58,42,false,false,false,false,true,false,false,false,2026-01-06T06:09:27Z,2026-01-06T06:15:38Z,HTML,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
97,motomazza-hub/tasmania-trip-diary,motomazza-hub,https://github.com/motomazza-hub/tasmania-trip-diary,Web / App,HTML,0,0,36,58,42,false,false,false,false,true,false,false,false,2026-03-20T14:11:38Z,2026-03-20T15:03:18Z,HTML,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
98,aj-kivimaki/au2mate-showcase,aj-kivimaki,https://github.com/aj-kivimaki/au2mate-showcase,Web / App,Unknown,0,0,43,46,42,false,false,false,false,true,false,false,true,2024-10-19T10:26:45Z,2024-11-28T14:50:08Z,JavaScript / Web;React;Docker;PostgreSQL / PostGIS,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
99,FCMAP/qgis2web_2024_03_29-12_15_36_411992,FCMAP,https://github.com/FCMAP/qgis2web_2024_03_29-12_15_36_411992,GIS / Geography,JavaScript,0,0,32,60,41,false,false,false,true,false,false,false,false,2024-03-29T11:29:09Z,2024-03-29T11:43:42Z,JavaScript;JavaScript / Web;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
100,ztgreene/tasmanian_devils,ztgreene,https://github.com/ztgreene/tasmanian_devils,Data Analysis,R,0,0,22,68,41,false,false,true,false,false,false,false,false,2021-10-13T01:03:53Z,2021-10-13T01:09:02Z,R,塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
101,sergioiglevar/AIRBNB_TASMANIA,sergioiglevar,https://github.com/sergioiglevar/AIRBNB_TASMANIA,Data Analysis,Jupyter Notebook,0,0,41,52,41,false,false,true,false,true,false,false,false,2024-11-03T13:15:28Z,2024-11-03T13:37:31Z,Jupyter Notebook;Python,分析或可视化塔斯马尼亚 Airbnb 房源数据的项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
102,Tas-Tech-Talks/tas-tech-events,Tas-Tech-Talks,https://github.com/Tas-Tech-Talks/tas-tech-events,Web / App,HTML,1,0,54,34,41,false,false,false,false,true,false,false,true,2025-11-21T02:17:22Z,2025-11-26T01:45:19Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
103,u7293638/aus-ghost-map,u7293638,https://github.com/u7293638/aus-ghost-map,GIS / Geography,Unknown,0,0,32,60,41,false,false,false,true,false,false,false,false,2023-10-10T02:35:28Z,2023-10-27T21:57:05Z,GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
104,BrendanGasparin/gardening-2011,BrendanGasparin,https://github.com/BrendanGasparin/gardening-2011,Education / UTAS,HTML,0,0,24,50,41,true,false,false,false,false,false,false,true,2022-01-11T14:14:15Z,2022-01-11T14:38:25Z,HTML,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
105,namedummy568-stack/TasmanianMarineData,namedummy568-stack,https://github.com/namedummy568-stack/TasmanianMarineData,Marine Science,Unknown,0,0,29,61,40,false,false,false,false,true,false,false,false,2025-09-22T07:26:28Z,2025-09-22T07:26:29Z,,塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
106,nf-s/tas-convict-datavis-d3,nf-s,https://github.com/nf-s/tas-convict-datavis-d3,Data Analysis,JavaScript,0,0,34,56,40,false,false,true,false,false,false,false,false,2018-01-16T06:24:58Z,2023-06-14T06:08:43Z,JavaScript;JavaScript / Web,检索或可视化 19 世纪被流放至塔斯马尼亚的囚犯资料。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
107,RobTheOceanographer/tassie_sst_climatology,RobTheOceanographer,https://github.com/RobTheOceanographer/tassie_sst_climatology,Marine Science,Unknown,1,0,28,53,40,false,false,false,false,false,false,false,true,2016-08-03T23:45:37Z,2016-08-04T23:15:00Z,,处理塔斯马尼亚周边海域海表温度观测和气候模型数据的代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
108,travistyzero/hydro-web,travistyzero,https://github.com/travistyzero/hydro-web,Government / Public Data,JavaScript,0,0,10,74,39,false,false,false,false,false,false,false,false,2016-04-13T04:14:29Z,2016-05-03T00:47:15Z,JavaScript;JavaScript / Web,与 Hydro Tasmania 水电、水库或水文数据相关的数据处理/可视化项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
109,unitingstats-spec/UnitingStats,unitingstats-spec,https://github.com/unitingstats-spec/UnitingStats,Web / App,HTML,0,0,29,58,39,false,false,false,false,true,false,false,false,2025-10-19T03:13:54Z,2025-10-19T04:51:42Z,HTML,塔斯马尼亚历史、文化、社区或人文资料项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
110,GITenberg/The-History-of-Tasmania-Volume-I_24362,GITenberg,https://github.com/GITenberg/The-History-of-Tasmania-Volume-I_24362,Web / App,HTML,0,0,10,74,39,false,false,false,false,false,false,false,false,2014-07-31T04:32:56Z,2018-10-18T22:34:05Z,HTML,来自 Project Gutenberg 的塔斯马尼亚历史/旅行文本项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
111,GITenberg/The-History-of-Tasmania-Volume-II_22849,GITenberg,https://github.com/GITenberg/The-History-of-Tasmania-Volume-II_22849,Web / App,HTML,0,0,10,74,39,false,false,false,false,false,false,false,false,2014-07-31T00:23:08Z,2018-10-18T18:46:16Z,HTML,来自 Project Gutenberg 的塔斯马尼亚历史/旅行文本项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
112,jrcrisford/skybound-ascension-prototype,jrcrisford,https://github.com/jrcrisford/skybound-ascension-prototype,Student Projects,ShaderLab,0,0,29,49,39,true,false,false,false,true,false,true,false,2025-06-15T11:24:38Z,2025-06-15T11:44:24Z,ShaderLab,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
113,NAJMUL-DBN/KIT500,NAJMUL-DBN,https://github.com/NAJMUL-DBN/KIT500,Student Projects,Python,0,0,29,49,39,true,false,false,false,true,false,true,false,2024-08-14T00:23:39Z,2024-08-14T00:31:33Z,Python,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
114,ManinderpreetPuri/Business-Resilliance-Program-Data-Analysis,ManinderpreetPuri,https://github.com/ManinderpreetPuri/Business-Resilliance-Program-Data-Analysis,Data Analysis,Unknown,0,0,36,44,39,false,false,true,false,false,false,false,true,2021-07-14T04:11:59Z,2021-07-14T04:19:52Z,,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
115,SeaShadow/LaTeX-AMC-PhD-Thesis-Template,SeaShadow,https://github.com/SeaShadow/LaTeX-AMC-PhD-Thesis-Template,Education / UTAS,TeX,4,3,23,50,38,true,false,false,false,false,false,false,false,2015-08-16T07:23:21Z,2020-07-08T03:38:30Z,TeX,塔斯马尼亚大学或其相关学院的论文/学位论文 LaTeX 模板。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
116,ElijahCuff/Tas-GRN-Collection,ElijahCuff,https://github.com/ElijahCuff/Tas-GRN-Collection,Government / Public Data,PHP,0,0,22,62,38,false,false,false,false,false,false,false,false,2022-07-30T12:37:24Z,2023-08-01T08:00:29Z,PHP,塔斯马尼亚政府无线电网络资料收集项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
117,justDlight/Shop_Tasmania_CSS,justDlight,https://github.com/justDlight/Shop_Tasmania_CSS,Web / App,CSS,1,0,40,38,38,false,false,false,false,false,false,false,true,2023-03-15T02:32:10Z,2023-03-15T04:14:45Z,CSS,塔斯马尼亚本地商业、生活服务或市场类项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
118,A-J-Morris/Blakes-Opening-UAV-Data-Applications,A-J-Morris,https://github.com/A-J-Morris/Blakes-Opening-UAV-Data-Applications,Data Analysis,Python,0,0,48,32,38,false,false,true,false,false,false,false,true,2022-12-05T02:38:41Z,2022-12-05T03:02:50Z,Python,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
119,admiraldolphin/govhack2013,admiraldolphin,https://github.com/admiraldolphin/govhack2013,Government / Public Data,Python,1,2,17,62,37,false,false,false,false,false,false,false,false,2013-05-31T11:44:31Z,2013-06-02T06:41:31Z,Python,塔斯马尼亚 GovHack 竞赛项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
120,alexanderhayward1995/Soundbites-tas,alexanderhayward1995,https://github.com/alexanderhayward1995/Soundbites-tas,Data Analysis,HTML,0,0,48,40,37,false,false,true,false,true,false,false,false,2026-04-13T13:34:37Z,2026-04-14T07:10:37Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
121,Veryboredcat/tasmanianwildcall,Veryboredcat,https://github.com/Veryboredcat/tasmanianwildcall,Web / App,HTML,0,0,43,34,37,false,false,false,false,true,false,false,true,2025-06-02T21:50:07Z,2025-06-02T21:54:52Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
122,Ecosystem-Indicators-Workflows/tasmanian-bogs-water-balance,Ecosystem-Indicators-Workflows,https://github.com/Ecosystem-Indicators-Workflows/tasmanian-bogs-water-balance,Data Analysis,Jupyter Notebook,1,0,45,40,37,false,false,true,false,true,false,false,false,2025-09-26T04:00:55Z,2025-09-26T04:01:00Z,Jupyter Notebook;Python,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
123,Chanpreet-Singh/Talk2Me-Tasmania-public,Chanpreet-Singh,https://github.com/Chanpreet-Singh/Talk2Me-Tasmania-public,Data Analysis,HTML,0,0,48,40,37,false,false,true,false,true,false,false,false,2026-05-07T11:24:44Z,2026-05-07T12:11:58Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
124,KimJuWan1/Classifying-Tasmanian-Bird-Vocalizations-Using-machine-learning-with-Data-Augmentation,KimJuWan1,https://github.com/KimJuWan1/Classifying-Tasmanian-Bird-Vocalizations-Using-machine-learning-with-Data-Augmentation,Data Analysis,Jupyter Notebook,0,0,48,40,37,false,false,true,false,true,false,false,false,2026-03-08T04:18:33Z,2026-03-08T04:48:52Z,Jupyter Notebook;Python,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
125,Andrew-Klekociuk/allskycam,Andrew-Klekociuk,https://github.com/Andrew-Klekociuk/allskycam,Data Analysis,HTML,0,0,48,40,37,false,false,true,false,true,false,false,false,2026-02-15T23:40:10Z,2026-02-16T03:21:04Z,HTML,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
126,sage3648/KIT301-ICT-Project,sage3648,https://github.com/sage3648/KIT301-ICT-Project,GIS / Geography,Unknown,0,0,20,53,37,true,false,false,true,false,false,true,false,2019-06-20T10:55:20Z,2019-06-20T11:50:49Z,,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
127,travelens/tasmania-2018,travelens,https://github.com/travelens/tasmania-2018,Local Business / Tourism,Astro,0,0,29,51,36,false,false,false,false,true,false,false,false,2023-04-10T07:14:19Z,2025-03-04T04:23:42Z,Astro,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
128,disclosurelogs/au-tas-register-of-lobbyists,disclosurelogs,https://github.com/disclosurelogs/au-tas-register-of-lobbyists,GIS / Geography,Ruby,0,0,20,60,36,false,false,false,true,false,false,false,false,2014-02-18T08:17:20Z,2016-01-04T10:18:43Z,Ruby;GIS,塔斯马尼亚游说者登记册数据项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
129,kasun1986/project-A,kasun1986,https://github.com/kasun1986/project-A,Education / UTAS,Unknown,0,0,22,50,36,true,false,false,false,false,false,false,false,2023-08-24T10:27:23Z,2023-08-24T10:34:14Z,,塔斯马尼亚大学课程、学生项目、作业或研究代码。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
130,lisa-craw/tasmania_airbnbs,lisa-craw,https://github.com/lisa-craw/tasmania_airbnbs,Data Analysis,Python,1,0,38,44,36,false,false,true,false,false,false,false,false,2023-03-07T05:24:32Z,2023-03-16T03:13:26Z,Python,分析或可视化塔斯马尼亚 Airbnb 房源数据的项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
131,travelens/tasmania-2023,travelens,https://github.com/travelens/tasmania-2023,Local Business / Tourism,Astro,0,0,29,51,36,false,false,false,false,true,false,false,false,2023-04-21T07:42:26Z,2025-03-04T06:59:45Z,Astro,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
132,vecotter-cpu/dovecote-estate,vecotter-cpu,https://github.com/vecotter-cpu/dovecote-estate,Web / App,TypeScript,0,0,36,46,36,false,false,false,false,true,false,false,false,2025-10-14T09:43:23Z,2026-04-29T02:51:38Z,TypeScript;JavaScript / Web,塔斯马尼亚房地产、房价、贷款或地产展示相关项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
133,PT9301/Australian-Mountain-Peaks-KML,PT9301,https://github.com/PT9301/Australian-Mountain-Peaks-KML,GIS / Geography,R,0,0,20,60,36,false,false,false,true,false,false,false,false,2018-03-31T10:38:20Z,2018-04-03T07:32:58Z,R;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
134,chrmccar/tasmania_seasons,chrmccar,https://github.com/chrmccar/tasmania_seasons,Data Analysis,Python,0,0,41,40,35,false,false,true,false,true,false,false,false,2025-03-20T16:53:31Z,2025-03-25T14:08:33Z,Python,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
135,yanter/ccat,yanter,https://github.com/yanter/ccat,Other Tasmania,Astro,0,0,36,44,35,false,false,false,false,true,false,false,false,2026-01-27T21:46:11Z,2026-01-28T11:31:54Z,Astro,塔斯马尼亚历史、文化、社区或人文资料项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
136,wragge/chinese-tasmania-jlite,wragge,https://github.com/wragge/chinese-tasmania-jlite,Data Analysis,Jupyter Notebook,0,0,41,40,35,false,false,true,false,true,false,false,false,2025-08-15T04:04:38Z,2025-08-15T04:24:41Z,Jupyter Notebook;Python,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
137,EliCarli/VarDyn_south_Tasmania_dataset,EliCarli,https://github.com/EliCarli/VarDyn_south_Tasmania_dataset,Data Analysis,nesC,0,0,41,40,35,false,false,true,false,true,false,false,false,2025-05-19T07:09:09Z,2025-08-01T12:35:09Z,nesC,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,低优先级：描述较泛或技术/方向匹配度有限，放在后续调研。
138,exxamalte/python-georss-tfs-incidents-client,exxamalte,https://github.com/exxamalte/python-georss-tfs-incidents-client,GIS / Geography,Python,0,0,0,72,35,false,false,false,true,false,true,false,false,2019-03-27T07:30:48Z,2025-11-01T12:25:04Z,Python;GIS,塔斯马尼亚消防事件 GeoRSS 或应急信息客户端。,低优先级：仓库已归档，主要作为历史或参考资料。
